Station_Code,X,Y,Z,sX,sY,sZ
PDEL,4551595.9333354,-2186893.04034399,3883410.89981742,0.00059051,0.00059085,0.00053407
PERT,-2368687.56690946,4881316.60026133,-3341795.47620919,0.00063646,0.00066523,0.00072643
PIE1,-1640916.97325197,-5014781.19754626,3575447.06745265,0.00058633,0.00061546,0.00050108
POHN,-5879158.53556067,2350292.13217815,767748.352053484,0.0011197,0.00072225,0.00060517
POL2,1239971.23053214,4530790.10812799,4302578.83089502,0.0005832,0.00063034,0.00053421
POLV,3411557.23408047,2348464.03787438,4834396.91117409,0.00058104,0.00058854,0.00054777
POTS,3800689.55198008,882077.462858068,5028791.3687323,0.0005753,0.00056887,0.00054752
PRDS,-1659603.06054439,-3676725.77151718,4925493.51053549,0.00057837,0.00056139,0.00053137
PRE1,5066232.04756725,2719227.11262502,-2754392.54054369,0.0006207,0.00056871,0.00069881
QAQ1,2170942.01793266,-2251829.99714107,5539988.41103621,0.00062493,0.00064255,0.00088764
QIKI,1069081.17459988,-2195214.20835708,5872519.04952779,0.0005307,0.00053719,0.00055369
QUIN,-2517231.25414846,-4198595.04486158,4076531.19791265,0.00060762,0.00057865,0.00050764
RABT,5255617.63488543,-631745.602464096,3546322.62149717,0.00061132,0.00058313,0.00053375
RAMO,4514721.74784077,3133507.90890518,3228024.79462918,0.00061146,0.00061952,0.00053197
RCMN,5101056.72673134,3829074.31060243,-135016.256728628,0.00063419,0.00062909,0.00059071
RECF,5176588.6103627,-3618162.18357863,-887363.790831876,0.00064848,0.00061668,0.00061704
RESO,-144107.694213672,-1683119.8137961,6129763.3032044,0.00054081,0.00051067,0.00056056
REUN,3364099.04087208,4907944.54076485,-2293466.80238792,0.00059677,0.00064538,0.00067366
RIGA,3183899.10531185,1421478.56253982,5322810.83581153,0.00063718,0.00059306,0.00071557
RIO2,1429907.81635853,-3495354.84991552,-5122698.58930931,0.00056002,0.00056019,0.00081593
RIOG,1429907.82670689,-3495354.86522628,-5122698.61158449,0.00057251,0.00059683,0.00086129
